City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,ambilobe,-13.2,49.05,73.54,83,71,4.05,MG,1588118550
228,port blair,11.67,92.75,83.53,74,87,5.3,IN,1588118550
229,constitucion,-35.33,-72.42,56.44,71,0,11.77,CL,1588118460
230,puerto colombia,10.99,-74.95,82.4,74,85,17.22,CO,1588118550
231,amanpur,27.72,78.75,81.86,41,0,3.51,IN,1588118551
232,coihaique,-45.58,-72.07,50.0,100,90,3.36,CL,1588118551
233,khipro,25.83,69.38,84.99,33,0,9.28,PK,1588118551
234,pangai,-19.8,-174.35,80.6,78,75,20.8,TO,1588118552
235,tasiilaq,65.61,-37.64,35.6,100,80,5.82,GL,1588118552
236,katangli,51.71,143.23,38.77,83,81,3.56,RU,1588118552
237,bandarbeyla,9.49,50.81,83.3,78,17,13.56,SO,1588118552
238,suluq,31.67,20.25,67.19,50,100,8.59,LY,1588118553
239,dicabisagan,17.08,122.42,81.64,72,88,2.93,PH,1588118553
240,meulaboh,4.14,96.13,77.23,85,90,3.78,ID,1588118553
241,yokadouma,3.52,15.05,69.98,80,18,2.01,CM,1588118553
242,salalah,17.02,54.09,84.2,83,20,5.82,OM,1588118553
243,tautira,-17.73,-149.15,87.8,70,34,11.41,PF,1588118554
244,abalak,58.13,68.59,51.03,95,100,4.88,RU,1588118554
245,shunyi,40.12,116.65,73.0,48,7,6.71,CN,1588118554
246,sal rei,16.18,-22.92,73.4,73,75,14.99,CV,1588118554
247,orange,33.7,-117.77,75.2,60,20,13.87,US,1588118555
248,grand falls,47.05,-67.74,51.8,32,1,9.17,CA,1588118555
249,kondoa,-4.9,35.78,63.09,64,82,1.52,TZ,1588118555
250,tokmak,47.25,35.71,44.37,64,1,5.08,UA,1588118555
251,fortuna,40.6,-124.16,61.0,93,20,14.99,US,1588118556
252,puerto cabezas,14.04,-83.39,80.24,77,34,8.05,NI,1588118556
253,kidal,18.44,1.41,87.01,12,0,12.53,ML,1588118556
254,marawi,8.0,124.29,81.0,74,96,4.0,PH,1588118556
255,mount isa,-20.73,139.5,80.6,34,0,8.05,AU,1588118557
256,mareeba,-17.0,145.43,82.4,69,40,10.29,AU,1588118557
257,tigil,57.8,158.67,30.2,96,84,5.46,RU,1588118557
258,bam,29.11,58.36,75.63,19,5,12.97,IR,1588118557
259,frontera,26.93,-101.45,80.29,35,81,11.14,MX,1588118459
260,tirau,-37.98,175.75,66.0,68,0,3.0,NZ,1588118558
261,novokuznetsk,53.76,87.11,59.31,71,85,4.56,RU,1588118559
262,te anau,-45.42,167.72,56.91,61,96,7.58,NZ,1588118559
263,haines junction,60.75,-137.51,44.53,49,86,2.95,CA,1588118559
264,pringsewu,-5.36,104.97,75.54,87,37,0.89,ID,1588118559
265,matagami,49.75,-77.63,50.0,31,1,11.41,CA,1588118559
266,harper,4.38,-7.72,80.64,86,89,5.77,LR,1588118560
267,morant bay,17.88,-76.41,82.4,69,40,11.41,JM,1588118560
268,pitimbu,-7.47,-34.81,77.0,88,98,4.7,BR,1588118560
269,jalu,29.03,21.55,73.69,34,90,9.4,LY,1588118560
270,bulgan,48.81,103.53,53.71,38,100,3.47,MN,1588118560
271,san pedro,14.35,121.02,86.0,69,40,3.36,PH,1588118486
272,novo aripuana,-5.12,-60.38,77.31,89,96,1.7,BR,1588118561
273,marrakesh,31.63,-8.01,62.6,67,40,6.93,MA,1588118495
274,carnarvon,-24.87,113.63,62.6,59,75,10.29,AU,1588118561
275,severo-kurilsk,50.68,156.12,32.61,94,55,12.66,RU,1588118561
276,little current,45.98,-81.92,48.2,76,90,11.41,CA,1588118561
277,mataro,41.54,2.44,61.0,71,0,10.94,ES,1588118349
278,port-gentil,-0.72,8.78,82.4,88,40,10.29,GA,1588118562
279,realeza,-25.77,-53.53,67.59,61,0,3.36,BR,1588118562
280,aripuana,-9.17,-60.63,74.98,89,65,1.66,BR,1588118562
281,omboue,-1.57,9.26,79.07,90,99,8.16,GA,1588118563
282,sept-iles,50.2,-66.38,44.6,39,75,3.36,CA,1588118563
283,mar del plata,-38.0,-57.56,61.0,87,20,17.22,AR,1588118424
284,kahului,20.89,-156.47,82.4,58,1,25.28,US,1588118563
285,maningrida,-12.07,134.27,83.53,63,81,9.35,AU,1588118564
286,faya,18.39,42.45,68.0,68,1,2.28,SA,1588118564
287,geraldton,-28.77,114.6,57.2,47,72,25.28,AU,1588118564
